contract number,client enterprise,supply center,country,city,industry,product code,product name,product model,unit price,quantity,contract date,estimated delivery date,lodgement date,director,salesman,salesman number,gender,age,mobile phone
CSE0000000,Pinduoduo,Eastern China,China,Shanghai,Internet,T67P542,Tv Base,TvBaseR1,680,480,2018/2/2,2018/4/3,2018/3/13,Xu Zhuyu,Jiang Qizhen,12111414,Female,19,15648228450
CSE0000000,Pinduoduo,Eastern China,China,Shanghai,Internet,E6N2308,Electronic Dictionary,ElectronicDictionary67,970,750,2018/2/2,2018/3/12,2018/2/28,Xu Zhuyu,Lv Qiufeng,12110809,Female,19,15088530748
CSE0000000,Pinduoduo,Eastern China,China,Shanghai,Internet,E9G8372,Exhaust Fan,ExhaustFanD8,320,750,2018/2/2,2018/2/5,2018/3/2,Xu Zhuyu,Zheng Runyi,11812628,Male,22,15613461351
CSE0000000,Pinduoduo,Eastern China,China,Shanghai,Internet,M421X86,Multifunctional,MultifunctionalT4,90,740,2018/2/2,2018/2/23,2018/3/3,Xu Zhuyu,Dou Youqing,11612519,Female,24,18695976535
CSE0000000,Pinduoduo,Eastern China,China,Shanghai,Internet,SE17564,Server Barebones,ServerBarebonesH4,70,500,2018/2/2,2018/2/19,2018/3/26,Xu Zhuyu,Jiang Qizhen,12111414,Female,19,15648228450
CSE0000001,Unilever,Europe,Netherlands/United Kingdom,NULL,Foodstuff,L17546O,Laptop Docking Station,LaptopDockingStation94,620,310,2017/7/7,2017/7/25,2017/7/10,Audrey Evans,Alistair Smith,12011919,Male,20,18957760110
CSE0000001,Unilever,Europe,Netherlands/United Kingdom,NULL,Foodstuff,D8150P6,Dot Matrix Printer,DotMatrixPrinterK1,690,610,2017/7/7,2017/7/22,2017/8/7,Audrey Evans,Jode Evans,11311100,Female,27,15015836603
CSE0000001,Unilever,Europe,Netherlands/United Kingdom,NULL,Foodstuff,HD86793,Humidifier,HumidifierY5,470,160,2017/7/7,2017/8/10,2017/8/15,Audrey Evans,Alistair Smith,12011919,Male,20,18957760110
CSE0000001,Unilever,Europe,Netherlands/United Kingdom,NULL,Foodstuff,P41857Y,Physical Security Isolation,PhysicalSecurityIsolation35,620,770,2017/7/7,2017/8/7,2017/9/1,Audrey Evans,Ross Edwards,11610329,Male,24,15082403377
CSE0000001,Unilever,Europe,Netherlands/United Kingdom,NULL,Foodstuff,HD86793,Humidifier,HumidifierF6,790,430,2017/7/7,2017/7/13,2017/8/26,Audrey Evans,Steven Taylor,11112326,Male,29,13838231084
